CODIGOESTR,ESTRUCT,HORASFUNC1,HORASFUNC2,DIASFUNCME,SUBTIPO,SUBT,Luminaria.BAJOMEDICION,Luminaria.POTENCIA,POTENCIA_2,ALIMENTA_5,ALIM,SUBTIPO_1,TRAF,VOLTAJE,POTENCIA TRAFO,TRAFO,KWH
APO0313,LDPS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),1,Transformador Monofásico en poste,7.62 kV,15,303433,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,15,303433,36
APO0305,LDPS150PCC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,15,303433,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0303,LCPS150PCC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CO040T13,Cochabamba - Balsapamba,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0306,LDPS250PCC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303434,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303434,54
APO0406,PDPM150ACC,12,0,100,7,Proyector de Mercurio,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303933,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303933,54
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303933,54
APO0306,LDPS250PCC,12,0,100,4,Sodio Cerrada,0,150,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303933,54
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303933,54
APO0313,LDPS250ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,10,303936,54
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,10,303936,36
APO0313,LDPS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,10,303936,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,10,303936,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,10,303936,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,37.5,301239,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T12,Echeandia Sabanetillas,1,Transformador Monofásico en poste,7.97 kV,37.5,301239,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,37.5,301239,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,5,303881,54
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,5,303881,54
APO0375,LDOS250ACC,12,0,100,4,Sodio Cerrada,0,150,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,5,303881,54
APO0314,LDPS400ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T12,Guaranda - Cdla. 1° de Mayo,5,Transformador Trifásico en poste,13.8 kV,15,301474,36
APO0314,LDPS400ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,300041,54
APO0375,LDOS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CA050T11,Caluma-Echeandía,1,Transformador Monofásico en poste,7.62 kV,10,303568,36
APO0617,LDOS150ADC,6,6,100,4,Sodio Cerrada,0,100,105,03GR010T21,Guaranda - Chimbo,1,Transformador Monofásico en poste,7.62 kV,10,303568,37
APO0617,LDOS150ADC,6,6,100,4,Sodio Cerrada,0,150,105,03CA050T12,Caluma - Pita,1,Transformador Monofásico en poste,7.97 kV,10,303568,46
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T13,Echeandía-Centro,1,Transformador Monofásico en poste,7.97 kV,10,303568,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,10,303568,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,10,303568,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T13,Echeandía-Centro,1,Transformador Monofásico en poste,7.97 kV,10,303568,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CA050T14,Caluma Centro,5,Transformador Trifásico en poste,13.8 kV,10,303568,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303434,54
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T15,Guanujo - Simiatug,1,Transformador Monofásico en poste,7.97 kV,37.5,301239,36
APO0339,LDSS250ADC,6,6,100,4,Sodio Cerrada,0,100,175,03GR010T21,Guaranda - Chimbo,1,Transformador Monofásico en poste,7.62 kV,37.5,308244,50
APO0339,LDSS250ADC,6,6,100,4,Sodio Cerrada,0,100,175,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.97 kV,25,303295,50
APO0339,LDSS250ADC,6,6,100,4,Sodio Cerrada,0,100,175,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.97 kV,15,303554,50
APO0619,LDOS250ADC,6,6,100,4,Sodio Cerrada,0,100,175,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.62 kV,3,303430,50
APO0619,LDOS250ADC,6,6,100,4,Sodio Cerrada,0,100,175,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.62 kV,25,303295,50
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T13,Echeandía-Centro,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0375,LDOS250ACC,12,0,100,4,Sodio Cerrada,0,250,0,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.97 kV,37.5,308244,90
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T13,Guanujo Central,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,5,Transformador Trifásico en poste,13.8 kV,37.5,303292,36
APO0305,LDPS150PCC,12,0,100,4,Sodio Cerrada,0,100,0,03CA050T13,Caluma - Pasagua,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),1,Transformador Monofásico en poste,7.62 kV,37.5,303292,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T15,Guanujo - Simiatug,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0304,LDPS100PCC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,37.5,308244,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,37.5,308244,36
APO0309,LCPS100ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,303437,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,303437,36
APO0309,LCPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,303437,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,400,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,10,303319,144
APO0314,LDPS400ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,15,303352,36
APO0309,LCPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),1,Transformador Monofásico en poste,7.97 kV,3,303430,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,15,303554,36
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,15,302651,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,10,303929,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,10,303929,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,10,303929,36
APO0375,LDOS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T14,Echeandía - Reserva 2 (Camaron),5,Transformador Trifásico en poste,13.2 kV,15,308114,36
APO0375,LDOS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GN020T15,Guanujo - Simiatug,1,Transformador Monofásico en poste,7.97 kV,25,303603,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,10,307293,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CO040T11,Cochabamba - San Miguel,1,Transformador Monofásico en poste,7.97 kV,10,307293,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T12,Guaranda - Cdla. 1° de Mayo,5,Transformador Trifásico en poste,13.8 kV,25,303304,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T12,Guaranda - Cdla. 1° de Mayo,5,Transformador Trifásico en poste,13.8 kV,25,303304,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T12,Guaranda - Cdla. 1° de Mayo,5,Transformador Trifásico en poste,13.8 kV,25,303304,36
APO0617,LDOS150ADC,6,6,100,4,Sodio Cerrada,0,100,105,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303304,37
APO0374,LDOS100ACC,12,0,100,4,Sodio Cerrada,0,250,0,03GN020T11,Guanujo - Cuatro Esquinas,1,Transformador Monofásico en poste,7.97 kV,25,303304,90
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,303304,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,175,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,15,302640,63
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.62 kV,5,302649,90
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,70,0,03CO040T12,Cochabamba - Asuncion,5,Transformador Trifásico en poste,13.8 kV,5,303344,25
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.97 kV,10,303348,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03CO040T12,Cochabamba - Asuncion,1,Transformador Monofásico en poste,7.97 kV,10,303348,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T21,Guaranda - Chimbo,1,Transformador Monofásico en poste,7.97 kV,10,303348,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,70,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,10,303342,25
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,10,303348,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,10,303348,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,70,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,10,303342,25
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,25,303900,90
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,25,302647,90
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,70,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,10,303342,25
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,54
APO0313,LDPS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,302647,90
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,302647,90
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,150,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,25,302647,54
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,302647,90
APO0310,LCPS150ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,25,303295,36
APO0310,LCPS150ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0310,LCPS150ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0309,LCPS100ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,150,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,37.5,303292,54
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,37.5,303292,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,150,0,03SI060T13,Sicoto - San Jose del Tambo,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,54
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T13,Sicoto - San Jose del Tambo,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0310,LCPS150ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T13,Sicoto - San Jose del Tambo,1,Transformador Monofásico en poste,7.62 kV,37.5,303292,36
APO0310,LCPS150ACC,12,0,100,3,Sodio Abierta,0,100,0,03SI060T13,Sicoto - San Jose del Tambo,1,Transformador Monofásico en poste,7.62 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0503,PDPS150ACC,12,0,100,6,Proyector de Sodio,0,150,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,54
APO0206,LDPM175ACC,12,0,100,1,Mercurio Cerrada,0,250,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,90
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,37.5,303292,36
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T13,Sicoto - San Jose del Tambo,1,Transformador Monofásico en poste,7.97 kV,5,303552,36
APO0617,LDOS150ADC,6,6,100,4,Sodio Cerrada,0,175,105,03EC030T11,Echeandía - Las Naves,1,Transformador Monofásico en poste,7.97 kV,15,302651,50
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03EC030T12,Echeandia Sabanetillas,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
APO0310,LCPS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.62 kV,45,301078,36
APO0312,LDPS150ACC,12,0,100,4,Sodio Cerrada,0,250,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,45,301078,90
APO0110,LDSM125ACA,12,0,100,2,Mercurio Abierta,0,100,0,03SI060T11,Sicoto - Chillanes,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
APO0313,LDPS250ACC,12,0,100,4,Sodio Cerrada,0,100,0,03GR010T11,Guaranda - Vinchoa,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
APO0311,LDPS100ACC,12,0,100,4,Sodio Cerrada,0,250,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,45,301078,90
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
APO0379,LDOS150ACC,12,0,100,4,Sodio Cerrada,0,100,0,03SI060T12,Sicoto - San Pablo,1,Transformador Monofásico en poste,7.97 kV,45,301078,36
